Property Name,ZIP Code,Chicago Energy Rating,Community Area,Primary Property Type,Gross Floor Area - Buildings (sq ft),Year Built,# of Buildings,Water Use (kGal),ENERGY STAR Score,Electricity Use (kBtu),Natural Gas Use (kBtu),District Steam Use (kBtu),District Chilled Water Use (kBtu),Site EUI (kBtu/sq ft),Source EUI (kBtu/sq ft),Weather Normalized Site EUI (kBtu/sq ft),Weather Normalized Source EUI (kBtu/sq ft),Total GHG Emissions (Metric Tons CO2e),GHG Intensity (kg CO2e/sq ft)
1111 N. Clark St.,60610,,NEAR NORTH SIDE,Automobile Dealership,90000,1910,1,,,3813726,4412800,,,91.4,184.5,97.1,190,939.5,10.4
The Moody Memorial Church,60614,,LINCOLN PARK,Worship Facility,145300,1925,1,,21,5228426,7443000,,,87.2,166.8,90.1,169.8,1446,10
"73rd St Apts., LLC",60649,3.5,SOUTH SHORE,Multifamily Housing,106000,1967,1,4113,51,1185376.6,10211880.8,,,107.5,132.5,108.2,133.2,739.6,7
1350-60 N LSD,60610,3.5,NEAR NORTH SIDE,Multifamily Housing,726800,1951,2,30153,55,16055224,48113960.5,,,88.3,131.4,88.6,131.3,5226.6,7.2
Merchandise Mart,60654,,NEAR NORTH SIDE,Office,4131093,1930,1,,,126428282,76256825,,47699664,60.6,127,62.8,129.4,29940.1,7.2
(IL278)-2000 N. Lincoln Park West,60614,,LINCOLN PARK,Multifamily Housing,263000,1930,1,,1,4792659,48297002,,,201.9,250,220.6,269.7,3451.4,13.1
840 North Michigan Ave,60611,,NEAR NORTH SIDE,Retail Store,87135,1992,1,,19,9723774,,,,111.6,350.4,113,354.9,1954,22.4
20 North Clark Street - 2821,60602,3.5,LOOP,Office,433246,1981,1,2263,71,21505859.9,,,,49.6,139,48.7,136.2,3577.8,8.3
CME Group Inc,60604,1,LOOP,Financial Office,261217,1997,1,4282,6,33082615.5,,,23498045.2,216.6,436.5,215.2,433.3,6742.1,25.8
Fuller-CPS,60653,,GRAND BOULEVARD,K-12 School,91800,1968,1,,81,1434199,3376107,,,52.4,87.7,55.5,90.9,468,5.1
5141 N Christiana Ave.,60625,,North Park,College/University,101000,2014,1,,,5972593.4,3659000.3,,,95.4,223.7,97,222.6,1295.2,12.8
The 30 West Erie CA,60654,,NEAR NORTH SIDE,Multifamily Housing,58442,2006,1,,23,2472581,2603873,,,86.9,179.6,92.7,188.8,595.5,10.2
Holy Cross Hospial,60629,,CHICAGO LAWN,Hospital (General Medical & Surgical),409910,1922,1,,16,32239913,116219010,,,362.2,544.7,361.5,544,12650,30.9
IL0032ZZ - CHICAGO CUSTOMHOUSE,60607,,NEAR WEST SIDE,Office,279320,1932,1,,77,12023349,5897010,,,64.2,157.3,65.8,158.5,2729,9.8
Altgeld Elem-CPS,60636,,WEST ENGLEWOOD,K-12 School,102616,1905,1,,34,1904354,6681062,,,83.7,126.6,89,132.2,738,7.2
Hanson Park-CPS,60639,,BELMONT CRAGIN,K-12 School,132816,1959,1,,90,1993983,5929589,,,59.7,94,63.3,98.7,716,5.4
Lara Academy-CPS,60609,,NEW CITY,K-12 School,67964,1996,1,,28,2722814,2138118,,,71.5,158.8,74.8,161.6,617,9.1
St Vincent Depaul,60614,3,LINCOLN PARK,Pre-school/Daycare,144166,2001,1,4171,,4104400.6,5267219.9,,,65,118.1,65.2,117.3,962.6,6.7
431 Roscoe,60657,1.5,LAKE VIEW,Multifamily Housing,55296,1931,1,120,31,813294.6,5562410.5,,,115.3,146.8,117.2,148.8,430.7,7.8
Woodlawn Terrace,60615,,KENWOOD,Multifamily Housing,58167,1925,1,,70,753652.8,5317200.1,,,104.4,136.7,113.3,144.9,421.3,7.2
Searle Chemistry Laboratory,60637,,HYDE PARK,Laboratory,85570,2009,1,,,15181998,69000,23606571,20889602,698.2,1134,688.4,1124.1,5479.1,64
Gary Element-CPS,60623,,SOUTH LAWNDALE,K-12 School,132193,1911,1,,39,3557662,6489746,,,76,136.1,81.4,144,1060,8
Gold Coast City Apartments,60611,,NEAR NORTH SIDE,Multifamily Housing,124000,1967,1,,9,3067754,15175137,,,147.1,206.2,158.6,217.6,1373.2,11.1
Chicago Vocational Career Academy -CPS,60617,,AVALON PARK,,829506,,1,37,,,,,,,,,,,
,60621,,ENGLEWOOD,,57888,,1,,,,,,,,,,,,
"2620 Washington Master Tenant, LLC",60612,,NEAR WEST SIDE,Multifamily Housing,73016,1926,1,,100,1356757.9,2028709.9,,,46.4,87.5,48.5,88.2,357.8,4.9
Delano Eleme-CPS,60624,,WEST GARFIELD PARK,K-12 School,102500,1966,1,,9,3789558,5703792,,,92.6,174.5,97.6,181.2,1064,10.4
Emmanuel Baptist Church,60620,,AUBURN GRESHAM,Worship Facility,75627,1961,1,,55,681988,3691173,,,57.8,79.6,63.4,85.5,322.2,4.3
820 W. Jackson LLC,60607,1.5,NEAR WEST SIDE,Office,175085.9,1915,1,2012,29,15415477.4,,,,88,246.5,88,246.5,2564.6,14.6
180 North LaSalle,60601,,LOOP,Office,857412,1972,1,,85,29771597,29635747,,20922720,93.7,169.7,98.6,175,8181.3,9.5
Pullman Park,60626,2,PULLMAN,Retail Store,66735,2013,2,551,,3683069.8,2147931.1,,,87.4,188.3,88.3,189.3,726.8,10.9
1150 Condominium Association,60611,,NEAR NORTH SIDE,Multifamily Housing,241500,1957,1,,48,5141485,17610059,,,94.2,143.4,100.7,149.2,1886,7.8
Mayfair Condominiums,60611,,NEAR NORTH SIDE,Multifamily Housing,171333,1924,1,,63,6186542.9,5463700.1,,,68,146.9,71.3,150.3,1430.5,8.3
225 W. Ohio,60654,,NEAR NORTH SIDE,Office,60892,1907,1,,90,1939381,1217218,,,51.8,121,53.2,121.8,454,7.5
03092-95th & Stony Island,60619,,SOUTH DEERING,Supermarket/Grocery Store,72651,1999,1,,69,10886873,4695300,,,214.5,538.4,218,540,2437,33.5
1700 East 56th Street,60637,3.5,HYDE PARK,Multifamily Housing,474807,1969,1,20632,74,8198800.6,29550336.2,,,79.5,113.7,78.3,111.7,2933.5,6.2
#1986 47th & Western,60609,,NEW CITY,Retail Store,103699,2005,1,,49,5966247.1,3730946.6,,,93.5,218.4,97.9,221.1,1297.9,12.5
"Centrum Partners, LLC",60654,2,NEAR NORTH SIDE,Other,55000,1925,1,341,,2138464.2,1695795.1,,,69.7,141.2,70,141.5,445.8,8.1
630 North Rush,60611,,NEAR NORTH SIDE,Mixed Use Property,320717,2005,1,,76,14003520,3864100,,,55.7,149.8,55.7,149.8,2794.4,8.7
Swift Specia-CPS,60660,,EDGEWATER,K-12 School,109399,1997,1,,40,3268810,6426347,,,88.6,155.5,97.9,165.2,945.7,8.6
"Hinton Elementary, William Augustus -CPS",60621,,ENGLEWOOD,,71892,,1,1306,,,,,,,,,,,
Merchandise Mart,60654,,NEAR NORTH SIDE,Office,4131093,1930,1,30047,,124822322,86694679.6,,50511502.6,63.4,117.8,62.3,116.6,28032.7,6.8
1620 S. Michigan Ave Condo Association,60616,0,NEAR SOUTH SIDE,Multifamily Housing,251677,2006,1,9793,,7473982.6,15833500,,,92.6,149.2,90.8,147.3,2084.4,8.3
Superior West Private Residences (101 W Superior),60614,,NEAR NORTH SIDE,Multifamily Housing,111004,2001,1,,89,2170830,2793080,,,44.7,87.8,48.6,92.6,549.7,5
Chase Elemen-CPS,60647,,LOGAN SQUARE,K-12 School,84715,1894,1,,69,2311492,3074525,,,63.6,123.8,66.5,127.3,628,7.4
Hinton Eleme-CPS,60621,,ENGLEWOOD,K-12 School,71892,1965,1,,83,1249805,3122029,,,60.8,100.2,64.5,104.3,417,5.8
Schurz High-CPS,60641,2,IRVING PARK,K-12 School,455800,1910,1,1274,49,12304975.4,37327998.9,,,108.9,161.6,104.9,155.2,4029.8,8.8
Hamline Elem-CPS,60609,1,NEW CITY,K-12 School,79511,1898,1,994,12,3263266.5,5767412.6,,,113.6,191.1,112.4,187.6,849.2,10.7
G & A Senior Residence at Eastgate Village,60616,,NEAR SOUTH SIDE,Multifamily Housing,104388,2009,1,,93,894928,5775247,,,63.9,85,68.5,89.8,472.2,4.5
Four40,60605,,LOOP,Office,1157744,1984,1,,63,97579890,,,,84.3,264.7,84.7,266,19605,16.9
U.S. Bank -- Pullman Branch,60628,1,PULLMAN,Bank Branch,96000,1972,1,1186,6,5864931.2,8087777.7,,,145.3,259.5,142.7,256.5,1405.3,14.6
SkinnerNorth-CPS,60610,,NEAR NORTH SIDE,K-12 School,68922,1971,1,,76,1190666,3645589,,,70.2,109.8,76.5,116.4,413.8,6
Freehand Hotel Chicago,60611,,NEAR NORTH SIDE,Hotel,73250,1927,1,,88,3119161.7,3702353.7,,,93.1,186.8,96.4,190.2,771.6,10.5
Van Buren Park Apartments,60612,4,NEAR WEST SIDE,Multifamily Housing,210619,1983,14,5837,73,7598343.2,4901839.8,,,59.3,125.5,56.5,116.9,1524.5,7.2
Malden Property LLC,60640,4,UPTOWN,Multifamily Housing,78709,1925,1,3741,79,1841725.9,2214005.4,,,51.5,95.1,50.4,92,424,5.4
4048 S. Lake Park - 2017 Resubmit,60653,,OAKLAND,Multifamily Housing,55828,1972,1,,100,466648,,,,8.4,26.2,8.4,26.5,86.3,1.5
"939 North Avenue Collection,LLC",60642,,NEAR NORTH SIDE,Mixed Use Property,219651,2002,1,,,23411653,,,,106.6,334.7,106.8,335.4,4315.3,19.6
Tonti-CPS,60629,1,GAGE PARK,K-12 School,89103,1928,1,257,20,3354924.1,4491560,,,88.1,158.4,88.4,158.7,796.7,8.9
Lake Park Plaza Condominium Association,60613,2,LAKE VIEW,Multifamily Housing,491400,1969,1,19730,46,12542102.6,31944613.4,,,90.5,139.7,91.7,141,3783.3,7.7
222 E Pearson Condominium Association,60611,1.5,NEAR NORTH SIDE,Multifamily Housing,221441,1964,1,7140,32,4590904,23756311.7,,,128,170.7,127.8,170.1,2025.6,9.1
Mundelein Center,60626,,ROGERS PARK,College/University,206160,1930,1,,,9865460,20500,,,48,150.4,48,150.4,1983,9.6
Depriest Ele-CPS,60644,,AUSTIN,K-12 School,106650,2003,1,,19,5653135,,,,53,166.4,53,166.4,1136,10.6
Austin Polyt-CPS,60644,,AUSTIN,K-12 School,392000,1930,1,,31,9213270.1,36892514,,,117.6,172.6,129.4,184.9,3657.7,9.3
Humboldt Park,60622,,NORTH LAWNDALE,Other - Recreation,57229,1928,1,,,2439795,6842317,,,162.2,259.4,173.6,271.3,814.5,14.2
RyderWilliam-CPS,60620,4,AUBURN GRESHAM,K-12 School,73326,1963,1,1576,74,1566820.4,2307007.1,,,52.8,92.9,52.8,92.9,383.2,5.2
203 North LaSalle,60601,,LOOP,Office,760086,1985,1,,87,37535992,,,,49.4,155.1,51.5,161.6,6940.2,9.1
"(IL554-H) - Kinzie Station, Hi-Rise",60661,,NEAR WEST SIDE,Multifamily Housing,224616,2000,2,,19,6786021,15582114.3,,,99.6,167.7,107.7,174,2078.4,9.3
The Van Buren Building,60607,0,LOOP,,82592,,1,1098,,,,,,,,,,,
RiverView Condominium Association,60611,4,NEAR NORTH SIDE,Multifamily Housing,831220,2000,2,8393,61,27083197,20983470,,,57.8,117.7,57.5,116.3,5620.2,6.8
Metropolitan Tower Condo Association,60604,3,LOOP,Multifamily Housing,579393,1924,1,11738,68,14269823.4,25900870.4,,,69.3,115.9,67.7,114.2,3749.7,6.5
Van Buren Lofts: 1224 West Van Buren Street,60607,,NEAR WEST SIDE,Multifamily Housing,350000,2004,1,,60,5846953,15064299,,,59.7,97.6,64,102.6,1881.2,5.4
Bateman Elem-CPS,60618,,IRVING PARK,K-12 School,151694,1916,1,,65,3351013,6339768,,,63.9,113.2,69.9,119.6,956.3,6.3
Bronzeville Associates Senior Apartments Limited Partnership,60653,,GRAND BOULEVARD,Multifamily Housing,95435,1984,1,,62,2513726.2,3692978.4,,,65,123.3,68.8,126.3,659.5,6.9
Dunbar Vocational Acad HS -CPS,60616,,DOUGLAS,,319937,,1,8544,,,,,,,,,,,
Cather-CPS,60612,,EAST GARFIELD PARK,K-12 School,52579,1963,1,,9,1467527.5,2758770.1,,,80.4,142.7,88,150.7,417,7.9
EnV Chicago,60654,4,NEAR NORTH SIDE,Multifamily Housing,393986,2009,1,8814,74,11003358.8,9412999.8,,,51.8,103.3,51.2,101.3,2330.5,5.9
Jones Laboratory,60637,,HYDE PARK,Laboratory,72388,1929,1,,,6209638.7,,9360817,,215.1,424.9,219,424.8,1766.1,24.4
2758-2768 N. Milwaukee,60647,4,LOGAN SQUARE,Multifamily Housing,71000,1925,3,1113,85,1489037.7,1809248.6,,,46.5,85.5,46.6,85.2,343.8,4.8
Shields MS-CPS,60632,3,BRIGHTON PARK,K-12 School,95265,2012,1,518,61,3140599.6,2707169.9,,,61.4,122.1,60.3,120,666.3,7
Chicago and Midwest Regional Joint Board,60607,,NEAR WEST SIDE,Office,68150,1930,1,,84,1419832,3450668,,,71.5,118.6,77.5,124.1,445.8,6.5
Gateway Chandler,60614,,LINCOLN PARK,Multifamily Housing,129153,1987,1,,7,8992381,,,,69.6,218.6,72.8,228.6,1662.6,12.9
Villa at Windsor Park,60649,,SOUTH SHORE,Senior Care Community,97826,1998,1,,17,5739594.7,8370005.9,,,144.2,274.1,147.6,273.6,1502.5,15.4
6825 Sheridan Rd Building Partnership,60626,4,ROGERS PARK,Multifamily Housing,101560,1966,1,5006,83,759702.3,5635551.5,,,63,79.2,62.9,78.2,425.7,4.2
Lorraine Hansberry Apartments,60644,,AUSTIN,Multifamily Housing,106272,1976,1,,55,2821645,6861257,,,91.1,151.2,96.2,156.9,886.1,8.3
Mahalia Jackson Apartments,60617,,SOUTH CHICAGO,Multifamily Housing,91180,1974,2,,3,4018988,18625506.2,,,248.3,352.9,271.6,377.3,1730.1,19
Lofts of River East,60611,4,NEAR NORTH SIDE,Multifamily Housing,394449,1905,1,17318,94,5766201.5,15835284,,,54.8,83.1,55.2,83.6,1800.4,4.6
8792,60611,2,NEAR NORTH SIDE,Laboratory,303490,1925,1,,,24769929.2,64938322.6,,,295.6,453.2,296.4,452.1,7570,24.9
350 North Orleans,60654,,NEAR NORTH SIDE,Office,1883966,1975,1,,51,139274428,4152515,,40208089,97.5,255.8,99.1,262.4,28090.6,14.9
Harlem-Foster Shopping Center,60656,,NORWOOD PARK,Strip Mall,273613,1958,30,,,19003257,15485825,,,126.1,277.5,131.7,283.7,4336.1,15.8
Kingsbury Center,60654,,NEAR NORTH SIDE,Office,154614,1989,1,,81,7053873,5183700,,,79.1,178.5,81.5,180.9,1693,10.9
#1903 Brickyard,60707,,MONTCLARE,Retail Store,165647,1995,1,,59,7298067,7869821,,,91.6,188.2,92.9,189.6,1884,11.4
Clemente Community Academy HS -CPS,60622,,WEST TOWN,,433342,,1,14018,,,,,,,,,,,
Pulaski Fine-CPS,60647,,LOGAN SQUARE,K-12 School,103904,1949,1,,83,2526529,3239494,,,55.5,109.1,59.3,114.9,680,6.5
CCC District Office,60606,,LOOP,Office,226546,1904,1,,80,9588068,11203515,,,91.8,184.8,99.3,192.9,2367.9,10.5
Gage Park,60609,,GAGE PARK,Other - Recreation,58960,1926,1,,,394205,5712407,,,103.6,122.7,114.2,133.9,376.3,6.4
177 North State,60601,1,LOOP,Office,64967,1872,1,1702,3,8927689.1,121885.8,,,139.3,386.7,139.6,387.8,1491.7,23
Harmony Nursing and Rehabilitation,60625,,ALBANY PARK,Residential Care Facility,64664,1988,1,,,3931487,7930262,,,183.4,319.7,191.2,327.4,1148.1,17.8
ABLA/Brooks Homes,60608,,NEAR WEST SIDE,Multifamily Housing,279510,1997,26,,2,8686570,33041359,,,149.3,221.7,157.2,230,3361.1,12
777 North Michigan Condo Association,60611,,NEAR NORTH SIDE,Multifamily Housing,400000,1964,1,,71,9427888,18994682,,,71.1,123.9,73.8,126.3,2903,7.3
300 E Randolph,60601,,LOOP,Office,2218838,2010,1,,80,112059224.2,2350986.5,,66778322.2,81.7,189.8,81,192.6,24303.2,11
The Patricians,60614,2,LINCOLN PARK,Multifamily Housing,189852,1927,1,4691,48,3271200.4,19385288.3,,,119.3,155.5,120.7,155.8,1573.9,8.3
Young Elemen-CPS,60651,,AUSTIN,K-12 School,177004,1926,1,,23,4148392,14178412,,,103.5,157.7,112.3,166.9,1520.1,8.6
#1976 Lincoln Park,60614,,LINCOLN PARK,Retail Store,80069,2003,1,,29,6706842,517508,,,90.2,269.8,91.7,273.1,1375,17.2
1530 Dearborn Parkway Association,60610,,NEAR NORTH SIDE,Multifamily Housing,115775,1972,1,,91,2758168.7,3253603,,,51.9,104.3,55.4,107.7,681.2,5.9
Park Community Church,60610,1,NEAR NORTH SIDE,Social/Meeting Hall,65000,2007,1,,,3600263.9,1678600.1,,,81.2,182.2,79.6,177.3,688.1,10.6
"Bradley Business Center II,LLC",60618,,NORTH CENTER,Mixed Use Property,350000,1956,1,,95,3829516.2,5345828.6,,,26.2,50.4,26.2,50.4,992,2.8
Parish_StJuliana,60631,3,EDISON PARK,Other,113580,1927,4,575,,1446050.6,8748896.2,,,89.8,116.5,93,119.9,705.3,6.2
Edith Spurlock Sampson Apts,60614,,LINCOLN PARK,Multifamily Housing,156471,1968,2,,36,5291725.4,18271686.1,,,150.6,228.8,156.2,230.3,1945.9,12.4
100 Bellevue Place,60611,,NEAR NORTH SIDE,Multifamily Housing,350600,1970,1,,66,7247371,23255142,,,87,134.6,90,137.2,2691,7.7
Lurie Children's Faculty Office Building,60611,,NEAR NORTH SIDE,Office,82717,1917,1,,43,5426895,7784600,,,159.7,304.8,161.5,304.1,1504,18.2
North & Kostner,60639,,HUMBOLDT PARK,Retail Store,235761,2009,1,,76,10165065,1407460,,,49.1,141.7,49.5,141.7,2117,9
McGowan North,60614,,LINCOLN PARK,College/University,56025,1998,1,,,10071439.2,21696216.1,,,567,971.1,592.6,984.4,3008.8,53.7
Bridgeport Homes,60608,,BRIDGEPORT,Multifamily Housing,110616,1943,1,,59,3225781.9,1948637.3,,,46.8,110.1,47.2,107.3,698.1,6.3
Stewart Business Center,60620,0,GREATER GRAND CROSSING,,220000,,1,786,,,,,,,,,,,
(IL572) - 3470 N Lake Shore Dr,60657,4,LAKE VIEW,Multifamily Housing,155144,1968,1,2217,81,2754029.6,7692537.8,,,67.3,101.8,67.9,102.3,866.8,5.6
The Larrabee Condominium Assocation,60610,,NEAR NORTH SIDE,Multifamily Housing,80457,2006,1,,65,2104170,3263706,,,66.7,124.7,68.3,126.2,562.4,7
Fuller-CPS,60653,,GRAND BOULEVARD,K-12 School,91800,1968,1,,78,1598972,3321680.3,,,53.6,92.7,59.2,98.6,471.2,5.1
St. Rita of Cascia High School,60620,,ASHBURN,K-12 School,269726,1960,1,,80,5107133,15343446,,,75.8,119.2,81.1,124.8,1759.2,6.5
Chicago Residential Inc,60614,,LINCOLN PARK,Multifamily Housing,252000,1927,1,,90,3420629,13565054,,,67.4,99.1,73.2,106.1,1353,5.4
Vivian Carter Apartments,60621,,ENGLEWOOD,Multifamily Housing,150136,1971,1,,78,3461201,7287590,,,71.6,123.4,75.3,128.1,1027,6.8
Innisbrook IV Condominium Association,60656,,OHARE,Multifamily Housing,88000,1975,1,,100,81610.2,3451615.4,,,40.2,44.1,43.1,47.2,198.4,2.3
60 W ERIE ST,60654,0,NEAR NORTH SIDE,,87877,,1,974,,,,,,,,,,,
Kent Chemical Laboratory,60637,,HYDE PARK,Laboratory,59841,1894,1,,,2997264.6,,8540394.9,4680600.2,271,407.2,272.6,410.9,1366.2,22.8
Volta Elemen-CPS,60625,,ALBANY PARK,K-12 School,86480,1931,1,,71,1660258,3629612,,,61.2,104.4,68.5,112,499.8,5.8
430 W. Erie LLC,60654,,Near North Side,Office,68862,1915,1,,83,2822969.4,2204053.4,,,73,162.3,76.8,164.4,637.4,9.3
No. 10 Urban Court Lofts,60607,,NEAR WEST SIDE,Multifamily Housing,364298,2005,1,,93,7341495,14281089,,,59.4,104.4,61,105.5,2234,6.1
Lunt Avenue Condominium & Health Club,60626,,ROGERS PARK,Multifamily Housing,59768,1925,1,,28,598055.4,4350958.3,,,82.8,107.9,90.5,114.9,341.3,5.7
"Navy Pier, Inc.",60611,,NEAR NORTH SIDE,Mixed Use Property,1150000,1914,1,,,110592644,73539868,,,160.1,369.1,166.6,378.9,24354,21.2
The Field Museum,60605,,NEAR SOUTH SIDE,Mixed Use Property,1298518.4,1921,1,25813,,68607550.9,96548700.4,,,127.2,225.7,126,224.2,16507.2,12.7
Catherine Courts Condominium Association of Chicago (5306-5310 N. Chester Ave.),60656,,OHARE,Multifamily Housing,101710,1960,1,,86,1615537.6,5402300.5,,,69,105.6,71.8,106.6,584.7,5.7
Gray Element-CPS,60641,,PORTAGE PARK,K-12 School,129990,1911,1,,71,4012679.2,3509538.6,,,57.9,125.3,60.5,126.6,926,7.1
The Pearson,60611,,NEAR NORTH SIDE,Multifamily Housing,301184,2003,1,,1,18851156.7,17891946.1,,,122,258.9,129.4,270.9,4425,14.7
909 W. Washington Condominium Association,60607,,NEAR WEST SIDE,Multifamily Housing,214000,2004,1,,78,4806747.1,6999987.6,,,55.2,104.9,57.8,106.1,1257.8,5.9
1350 N Astor Street,60610,3,NEAR NORTH SIDE,Multifamily Housing,71495,1949,1,1561,63,1107265.7,5430310.1,,,91.4,123.1,92.4,124.1,472.6,6.6
Madison Manor II,60607,,NEAR WEST SIDE,Multifamily Housing,190814,2002,1,,74,5248451,5947863.7,,,58.7,119.1,61.9,121.4,1283.3,6.7
FiskeSexton-CPS,60637,,WOODLAWN,K-12 School,105274,1915,1,,25,4222230.6,3775022.3,,,76,163.6,83,174.5,978.8,9.3
(IL510) - Emerald Condo,60607,,NEAR WEST SIDE,Multifamily Housing,251501,2008,1,,47,6662605.6,14024804.2,,,82.3,141.7,87.8,145.4,1973,7.8
2101 S. Michigan Apartments,60616,,NEAR SOUTH SIDE,Multifamily Housing,204401,1971,1,,22,6220389.9,17597598.2,,,116.5,186,125,194.9,2081.2,10.2
3125 W Fullerton,60610,,Logan Square,Multifamily Housing,155000,2007,1,,98,2559624.4,3980908.8,,,42.2,78.8,44.2,80.9,683.2,4.4
Klee Plaza at Six Corners Condominium Association,60654,,Portage Park,Multifamily Housing,107000,1929,1,,96,1816961.7,4055060,,,54.9,93.1,58.1,95.1,550.3,5.1
Gunnison Street Lofts Condo Assoc,60640,,UPTOWN,Multifamily Housing,58000,1930,1,,65,811615.9,2807822.8,,,62.4,94.8,66.1,97.5,299.2,5.2
Catalyst-Maria,60629,,CHICAGO LAWN,K-12 School,175970,1951,1,,99,1196768,7682917,,,50.5,67.2,50.4,67.1,649,3.7
Old Cook County Hospital,60612,,NEAR WEST SIDE,,707000,,1,,,,,,,,,,,,
Ariel Elemen-CPS,60653,,KENWOOD,K-12 School,147109,1893,1,,44,4274328,7831385,,,82.3,147.1,86.6,151.6,1275,8.7
3525 W. Peterson Avenue,60659,,NORTH PARK,Office,65000,1968,1,,85,1839761.3,2428886.6,,,65.7,128.1,,,468.1,7.2
Lake Vista Apartments,60605,,NEAR SOUTH SIDE,Multifamily Housing,334816,1982,1,,43,6231796,21643512,,,83.3,126.3,88.4,131.7,2301.8,6.9
South Commons - 3001 S Michigan,60616,3.5,DOUGLAS,Multifamily Housing,208042,1964,1,,52,3145458,18034701,,,101.8,133.4,103.3,135,1481.2,7.1
Instituto Health Sciences Career Academy,60608,0,LOWER WEST SIDE,,93000,,1,712,,,,,,,,,,,
Damen Court Apartments,60612,,NEAR WEST SIDE,Multifamily Housing,131000,1978,10,,87,2272528,5519900,,,59.5,98.7,62,101.1,713.4,5.4
Dickens Place Condominium Association,60614,,LINCOLN PARK,Multifamily Housing,73000,1900,1,,,,,,,,,,,,
Finkl Elemen-CPS,60608,1,LOWER WEST SIDE,K-12 School,71980,1995,1,513,17,3265524.9,3548817,,,94.7,178.8,93.1,177.1,731.8,10.2
Reside at Randolph: 120 N. Green St,60607,,NEAR WEST SIDE,Multifamily Housing,67090,1930,1,,15,3443018.5,2651,,,51.4,161.2,50.1,157.2,634.8,9.5
The Hermitage on Huron,60654,,NEAR NORTH SIDE,Multifamily Housing,263120,1985,1,,24,6580721,19414235,,,98.8,156,102.5,158.9,2353,8.9
Park Alexandria Condominium Association,60661,2,NEAR WEST SIDE,Multifamily Housing,418371,2003,1,11661,50,8075333.9,24709787.7,,,78.4,116.1,79,116.1,2655.9,6.3
North Town Village Limited Partnership,60642,,NEAR NORTH SIDE,Multifamily Housing,101320,1999,1,,94,2081673.1,3359428.8,,,53.7,99.3,55,97.5,562.1,5.5
#1974 Chicago (Cicero & Armitage),60639,,BELMONT CRAGIN,Retail Store,135114,2003,1,,47,7405575.4,4186425.6,,,85.8,204.6,88.3,203.6,1587.4,11.7
57F47-Residence Inn Chicago Loop,60603,,LOOP,Hotel,326000,2015,1,,80,9354458.6,13034410.2,,9815296.4,98.8,162.2,98.9,163.3,,
The Van der Rohe,60657,,LAKE VIEW,Multifamily Housing,193500,1952,1,,51,4697188,12143744,,,87,142.1,92.9,147.7,1513.5,7.8
Drake Tower Apartments Inc.,60611,,NEAR NORTH SIDE,Multifamily Housing,246310,1928,1,,66,2462898,5977,15902287,,74.6,109.1,,,1511.6,6.1
Greenview Place SLF,60657,,LAKE VIEW,Senior Care Community,83300,2009,1,,37,3884524.5,3733115.2,,,91.4,193.5,95.9,199.3,914.3,11
130 S Jefferson,60661,,NEAR WEST SIDE,Office,81179,1893,1,,56,4263328,3238608,,,92.4,206.8,96.6,210.5,960.3,11.8
The Resurrection Project - Casa Maravilla,60608,,LOWER WEST SIDE,Multifamily Housing,72205,2010,1,,92,1751901.6,1263689.7,,,41.8,94.6,42.6,95.5,390,5.4
1169 S Plymouth Condominium Association,60605,,LOOP,Multifamily Housing,120000,1978,1,,50,4276498,3650405,,,66.1,143.8,70.4,152.8,984.6,8.2
3950 N Lake Shore Drive CA,60613,,LAKE VIEW,Multifamily Housing,742292,1957,1,,31,15739211,58940603,,,100.6,150,104.2,153.7,6293,8.5
"SV Care (Southview Manor, Inc.)",60616,,DOUGLAS,Senior Care Community,54931,1976,1,,51,1908383,5563420,,,136,215.4,143.2,222,648.3,11.8
4039-43 N Ravenswood LLC,60613,,LAKE VIEW,Other,90000,1910,1,,,1565180,2414589,,,44.2,82.8,47.5,86.2,417.6,4.6
Medinah Temple,60611,2.5,NEAR NORTH SIDE,Retail Store,130000,1912,1,507,56,7066026.8,1230299.9,,,63.8,162.1,64,162.3,1240.9,9.5
Walmart Supercenter #01-5781,60620,,CHATHAM,Wholesale Club/Supercenter,148364,2012,1,,51,14283706.8,6932501.3,,,143,351.4,147.2,352.9,3001,20.2
Chapin Hall,60637,,WOODLAWN,College/University,65745,1938,1,,,3144644.2,,7328831.9,,159.3,284.3,173,298.8,1066.2,16.2
Oakwood King Condominium Building,60653,0,GRAND BOULEVARD,,57240,,1,2887,,,,,,,,,,,
"Riverpoint Owner, LLC",60654,,LINCOLN PARK,Other,202142,1988,3,,,20840776,4381700,,,124.8,346.5,124.8,346.5,4420,21.9
Garfield Center,60612,,EAST GARFIELD PARK,Other - Recreation,62660,1970,1,,,4929432,2719440,,,122.1,292.6,125.2,295,1135,18.1
Saint Mary of the Angels Parish,60622,,LOGAN SQUARE,Mixed Use Property,159105,1924,6,,,1453160.6,6055557.7,,,47.2,68.6,53.2,74.8,589.5,3.7
The Theatre School,60614,3,LINCOLN PARK,College/University,163000,2013,1,1576,,4311471.4,7654322.1,,,73.4,123.4,72.7,122.5,1123.8,6.9
325 North Wells,60654,,NEAR NORTH SIDE,College/University,154112,1914,1,,,4603344,5966530,,3424068,90.8,156.7,94.7,161.2,1348.5,8.8
"The Highland Apartments, LLC",60626,,ROGERS PARK,Multifamily Housing,51330,1915,1,,86,737585.7,4141448.9,,,95.1,129.8,99.5,133.3,355.9,6.9
